Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Marjolijn Both,0,20.0,169.0,57.0,Netherlands,NED,1,1992,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Solo, 
Sven Fischer,0,34.0,186.0,82.0,Germany,GER,0,2006,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,Gold
Leonard James Bull,0,29.0,174.0,85.0,Kenya,KEN,1,1964,Tokyo,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres", 
Jillian D'Alessio,0,19.0,157.0,64.0,Canada,CAN,1,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres", 
douard Clarisse,0,24.0,178.0,79.0,Mauritius,MRI,1,1996,Atlanta,Badminton,Badminton Men's Doubles, 
"James Steven ""Jim"" Bregman",0,22.0,170.0,80.0,United States,USA,1,1964,Tokyo,Judo,Judo Men's Middleweight,Bronze
Ana Isabel Elias,0,26.0,174.0,56.0,Angola,ANG,1,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres", 
Gilles Dupray,0,30.0,186.0,115.0,France,FRA,1,2000,Sydney,Athletics,Athletics Men's Hammer Throw, 
Fabio Acevedo,0,22.0,171.0,70.0,Colombia,COL,1,1972,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial, 
Chung Nan-Fei,0,40.0,160.0,60.0,Chinese Taipei,TPE,1,1968,Mexico City,Weightlifting,Weightlifting Men's Featherweight, 
Tarik Bouguetab,0,27.0,179.0,70.0,Morocco,MAR,1,2008,Beijing,Athletics,Athletics Men's Long Jump, 
Andriana Veselinova Banova,0,25.0,178.0,64.0,Bulgaria,BUL,1,2012,London,Athletics,Athletics Women's Triple Jump, 
Mohamed Benkhemassa,0,23.0,175.0,60.0,Algeria,ALG,1,2016,Rio de Janeiro,Football,Football Men's Football, 
Derek Burnett,0,41.0,178.0,87.0,Ireland,IRL,1,2012,London,Shooting,Shooting Men's Trap, 
Carlo Biagi,0,22.0,169.0,70.0,Italy,ITA,1,1936,Berlin,Football,Football Men's Football,Gold
Chen Yanping,0,22.0,180.0,75.0,China,CHN,1,1988,Seoul,Athletics,Athletics Men's Triple Jump, 
Ove Robert Aunli,0,23.0,183.0,75.0,Norway,NOR,0,1980,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres, 
Brian John Crago,0,34.0,171.0,67.0,Australia,AUS,1,1960,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Karl Birger Asplund,0,27.0,178.0,86.0,Sweden,SWE,1,1956,Melbourne,Athletics,Athletics Men's Hammer Throw, 
Nadia Fanchini,0,27.0,164.0,65.0,Italy,ITA,0,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom, 
Victor Arbez,0,29.0,180.0,80.0,France,FRA,0,1964,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay, 
Bakhvain Buyadaa,0,30.0,172.0,63.0,Mongolia,MGL,1,1976,Montreal,Judo,Judo Men's Lightweight, 
Roberto Calcaterra,0,32.0,186.0,90.0,Italy,ITA,1,2004,Athina,Water Polo,Water Polo Men's Water Polo, 
"Olga Mikhaylovna Bogoslovskaya (Naumkina-, -Guberniyeva, -Vasilyeva)",0,28.0,166.0,54.0,Unified Team,EUN,1,1992,Barcelona,Athletics,Athletics Women's 100 metres, 
Monique Marie Allen,0,16.0,157.0,46.0,Australia,AUS,1,1988,Seoul,Gymnastics,Gymnastics Women's Uneven Bars, 
Jean Basson,0,24.0,185.0,79.0,South Africa,RSA,1,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
Domenic Figliomeni (-Filane),0,29.0,166.0,48.0,Canada,CAN,1,1996,Atlanta,Boxing,Boxing Men's Light-Flyweight, 
Elisabeth Eberl,0,24.0,170.0,69.0,Austria,AUT,1,2012,London,Athletics,Athletics Women's Javelin Throw, 
Luis Miguel Arconada Echarri,0,22.0,179.0,76.0,Spain,ESP,1,1976,Montreal,Football,Football Men's Football, 
Thomas Dekker,0,19.0,188.0,69.0,Netherlands,NED,1,2004,Athina,Cycling,Cycling Men's Individual Time Trial, 
"John Michael ""Mike"" Breckin",0,22.0,180.0,80.0,Great Britain,GBR,1,1968,Mexico City,Fencing,"Fencing Men's Foil, Team", 
Lszl Csongrdi,0,29.0,177.0,78.0,Hungary,HUN,1,1988,Seoul,Fencing,"Fencing Men's Sabre, Team",Gold
Albert Boonstra,0,23.0,188.0,75.0,Netherlands,NED,1,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay, 
Mike Beres,0,31.0,179.0,79.0,Canada-2,CAN,1,2004,Athina,Badminton,Badminton Mixed Doubles, 
Mohamed Abdul Hamid,0,19.0,175.0,55.0,Sudan,SUD,1,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle, 
Anwar Al-Harazi,0,15.0,170.0,69.0,North Yemen,YAR,1,1988,Seoul,Athletics,"Athletics Men's 5,000 metres", 
Heike Gabriela Drechsler (Daute-),0,27.0,181.0,68.0,Germany,GER,1,1992,Barcelona,Athletics,Athletics Women's Long Jump,Gold
Harald Fereberger,0,43.0,167.0,70.0,Austria,AUT,1,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat, 
Dong Zhaozhi,0,30.0,178.0,75.0,China,CHN,1,2004,Athina,Fencing,"Fencing Men's Foil, Team",Silver
Amos Ojo Adekunle,0,26.0,140.0,48.0,Nigeria,NGR,1,1988,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle", 
George Bernard Blake,0,27.0,167.0,62.0,Australia,AUS,1,1906,Athina,Athletics,Athletics Men's Marathon, 
Emile Rony Bakale,0,20.0,188.0,90.0,Congo (Brazzaville),CGO,1,2008,Beijing,Swimming,Swimming Men's 100 metres Freestyle, 
Vicente Lenlson de Lima,0,23.0,166.0,66.0,Brazil,BRA,1,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Rutger Willem Hendrik Arisz,0,22.0,196.0,94.0,Netherlands,NED,1,1992,Barcelona,Rowing,Rowing Men's Quadruple Sculls, 
Joetta Clark-Diggs,0,29.0,168.0,56.0,United States,USA,1,1992,Barcelona,Athletics,Athletics Women's 800 metres, 
Idrissa Adam,0,27.0,178.0,79.0,Cameroon,CMR,1,2012,London,Athletics,Athletics Men's 100 metres, 
Darren Barber,0,23.0,193.0,98.0,Canada,CAN,1,1992,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
Sonia Barrio Gutirrez,0,22.0,164.0,56.0,Spain,ESP,1,1992,Barcelona,Hockey,Hockey Women's Hockey,Gold
Ann Brannon,0,29.0,170.0,60.0,Great Britain,GBR,1,1988,Seoul,Fencing,"Fencing Women's Foil, Team", 
Jos Miguel Espinosa Abando,0,18.0,178.0,75.0,Spain,ESP,1,1964,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay, 
Kelly Anne Boucher,0,32.0,187.0,74.0,Canada,CAN,1,2000,Sydney,Basketball,Basketball Women's Basketball, 
Brooke Marie Bennett (-Frioud),0,16.0,165.0,57.0,United States,USA,1,1996,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,Gold
Gerda Elbieta Bryka (-Krajciczek),0,23.0,160.0,55.0,Poland,POL,1,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around, 
Otilia Bdescu,0,21.0,160.0,58.0,Romania,ROU,1,1992,Barcelona,Table Tennis,Table Tennis Women's Singles, 
Laura Campos Prieto,0,19.0,150.0,48.0,Spain,ESP,1,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around, 
Camile Dias,0,17.0,165.0,55.0,Portugal,POR,0,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom, 
Meziane Dahmani,0,23.0,172.0,69.0,Algeria,ALG,1,1988,Seoul,Judo,Judo Men's Half-Lightweight, 
Okkert Brits,0,22.0,198.0,96.0,South Africa,RSA,1,1996,Atlanta,Athletics,Athletics Men's Pole Vault, 
Caimin Christian Douglas,0,27.0,179.0,82.0,Netherlands,NED,1,2004,Athina,Athletics,Athletics Men's 4 x 100 metres Relay, 
Nikolay Sergeyevich Averyanov,0,24.0,183.0,80.0,Russia,RUS,1,2004,Athina,Athletics,Athletics Men's Decathlon, 
Javier Carlos Acevedo,0,18.0,182.0,68.0,Canada,CAN,1,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke, 
Donald Lee Durbin,0,47.0,175.0,84.0,United States,USA,1,1984,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres", 
Didier Dfago,0,32.0,184.0,89.0,Switzerland,SUI,0,2010,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
Lyudmila Stepanovna Buldakova (Meshcheryakova-),0,30.0,171.0,66.0,Soviet Union,URS,1,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
Zorana Arunovi,0,25.0,168.0,90.0,Serbia,SRB,1,2012,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres", 
Stphan Malcolm Caron,0,22.0,200.0,82.0,France,FRA,1,1988,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
Sedat Artu,0,28.0,162.0,56.0,Turkey,TUR,1,2004,Athina,Weightlifting,Weightlifting Men's Bantamweight,Bronze
Katsuhito Ebisawa,0,29.0,170.0,64.0,Japan,JPN,0,2002,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres, 
Jason Block,0,26.0,182.0,82.0,Canada,CAN,1,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay, 
"Caroline Lynne ""Carrie"" Englert (-Zimmerman)",0,18.0,163.0,49.0,United States,USA,1,1976,Montreal,Gymnastics,Gymnastics Women's Balance Beam, 
Tom Dumoulin,0,25.0,186.0,70.0,Netherlands,NED,1,2016,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual", 
"Kimberly Ann Chace (-Boyle, -May)",0,16.0,158.0,50.0,United States,USA,1,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise, 
Avery Brundage,0,24.0,183.0,91.0,United States,USA,1,1912,Stockholm,Athletics,Athletics Men's Discus Throw, 
"Francis Davis ""Frank"" Chapot",0,40.0,178.0,70.0,United States,USA,1,1972,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Sven Fischer,0,30.0,186.0,82.0,Germany,GER,0,2002,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
Rajmund Csnyi,0,28.0,172.0,68.0,Hungary,HUN,1,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around, 
Artur Surenovych Aivazian,0,27.0,177.0,88.0,Ukraine,UKR,1,2000,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres", 
Andrea Chiarabini,0,17.0,179.0,70.0,Italy,ITA,1,2012,London,Diving,Diving Men's Platform, 
Milena Chlumov,0,25.0,150.0,42.0,Czechoslovakia,TCH,0,1972,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres, 
Attila Adrovicz,0,30.0,189.0,87.0,Hungary,HUN,1,1996,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Jos Pinto Ferreira,0,29.0,181.0,79.0,Portugal,POR,1,1952,Helsinki,Fencing,"Fencing Men's Sabre, Individual", 
Sylvie Cantin,0,27.0,172.0,64.0,Canada,CAN,0,1998,Nagano,Speed Skating,"Speed Skating Women's 1,000 metres", 
Adrian Croitoru,0,25.0,183.0,90.0,Romania,ROU,1,1996,Atlanta,Judo,Judo Men's Middleweight, 
Donato Cartagena,0,17.0,176.0,64.0,Dominican Republic,DOM,1,1968,Mexico City,Boxing,Boxing Men's Light-Welterweight, 
Ivan Ferk,0,22.0,197.0,92.0,Czechoslovakia,TCH,1,1964,Tokyo,Swimming,Swimming Men's 200 metres Backstroke, 
Frank Carter,0,25.0,173.0,76.0,Great Britain,GBR,1,1968,Mexico City,Diving,Diving Men's Springboard, 
Patrick Barr,0,21.0,172.0,63.0,France,FRA,1,1980,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Jennie Lynn Finch (-Daigle),0,27.0,185.0,77.0,United States,USA,1,2008,Beijing,Softball,Softball Women's Softball,Silver
Mara Itziar Esparza Pallars,0,21.0,169.0,53.0,Spain,ESP,1,1996,Atlanta,Swimming,Swimming Women's 400 metres Freestyle, 
Chan Fai Lui,0,21.0,180.0,63.0,Hong Kong,HKG,1,1976,Montreal,Cycling,"Cycling Men's Road Race, Individual", 
Marcel Brge,0,40.0,180.0,88.0,Switzerland,SUI,1,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres", 
Yelizaveta Andreyevna Chesnokova,0,17.0,163.0,53.0,Russia,RUS,0,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe, 
Eduardo Bustos Camacho,0,27.0,180.0,70.0,Colombia,COL,1,1964,Tokyo,Cycling,"Cycling Men's 1,000 metres Time Trial", 
Silvio Fauner,0,23.0,183.0,74.0,Italy,ITA,0,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit, 
Moustafa Chichi Raghimi,0,19.0,172.0,68.0,Iran,IRI,1,1988,Seoul,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres", 
Jyoti Chetty,0,26.0,157.0,57.0,South Africa,RSA,1,2008,Beijing,Fencing,"Fencing Women's Sabre, Individual", 
Doina Ofelia Beliu-Melinte,0,27.0,171.0,59.0,Romania,ROU,1,1984,Los Angeles,Athletics,"Athletics Women's 1,500 metres",Silver
Tiberiu Alexandru Dolniceanu,0,24.0,179.0,79.0,Romania,ROU,1,2012,London,Fencing,"Fencing Men's Sabre, Team",Silver
"Alfred Frederik ""Fred"" Eefting",0,21.0,183.0,94.0,Netherlands,NED,1,1980,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay, 
Elin Austevoll,0,21.0,177.0,73.0,Norway,NOR,1,1996,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley, 
Dan Cristea,0,23.0,173.0,65.0,Romania,ROU,0,1972,Sapporo,Alpine Skiing,Alpine Skiing Men's Slalom, 
Dennis Anthony Blake,0,21.0,186.0,70.0,Jamaica,JAM,1,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay, 
Hans Candrian,0,29.0,178.0,93.0,Switzerland-1,SUI,0,1968,Grenoble,Bobsleigh,Bobsleigh Men's Two, 
Krasimir Nikolaev Dunev,0,23.0,170.0,65.0,Bulgaria,BUL,1,1996,Atlanta,Gymnastics,Gymnastics Men's Rings, 
Janne Petteri Ahonen,0,32.0,184.0,66.0,Finland,FIN,0,2010,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Individual", 
Pasqualino Abeti,0,24.0,173.0,66.0,Italy,ITA,1,1972,Munich,Athletics,Athletics Men's 200 metres, 
Stefan Blcher,0,28.0,180.0,76.0,West Germany,FRG,1,1988,Seoul,Hockey,Hockey Men's Hockey,Silver
Anna Espar Llaquet,0,23.0,180.0,66.0,Spain,ESP,1,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo, 
Giuseppe Francesco D'Angelo,0,20.0,184.0,66.0,Italy,ITA,1,1972,Munich,Canoeing,"Canoeing Men's Kayak Singles, Slalom", 
Riddick Lamont Bowe,0,21.0,195.0,99.0,United States,USA,1,1988,Seoul,Boxing,Boxing Men's Super-Heavyweight,Silver
